os-challenge-null,git@github.com:HHMagnus/os-challenge-null.git,9fb3d594990968e1711b21a393a09ad41b0de127,05c35d5418e227798b8d2638e3d095a941a55d04
os-challenge-lost-at-c,git@github.com:jonnekaunisto/os-challenge-lost-at-c.git,0171e9c666f66b4cc2b0a2313c0f65445df1638b,67174a20617961c53ff583641992105b0efb2dff
os-challenge-kan_ikke_c_os,git@github.com:IceAndSnow/os-challenge-kan_ikke_c_os.git,0f458a160ec11b7d875b6d3b74c6ca12e6baf289,7e41ed8a798250afa51dc7f093949718bb11105f
os-challenge-hashdodo,git@github.com:s144025/os-challenge-hashdodo.git,c2ef3c46f13ad8c4ee9e38eff60c63dfc26ddb1c,ec7ec510d70befd74cf50a07bdf97286411f048b
os-challenge-need-for-speed,git@github.com:NicolaiLassen/os-challenge-need-for-speed.git,f170431a27b61f2f7231ee9f0398778e8d7a3252,b284663a5c93f8abdbe04bd2e74883b2a11f5697
os-challenge-group5,git@github.com:huangruidtu/os-challenge-group5.git,ad9a5ec57b5378e740f0af4be1c213a1f5ab0407,3b0c8ffd915c59d1e7914b0d11997d6f86235c3a
os-challenge-included-eagles,git@github.com:Niels-wm/os-challenge-included-eagles.git,b8ae1f11ea184e3ab505cc35fd7a732ac761bcd4,abbf7c1ab93ae410ea795a3d513af33bf73d6ff4
os-challenge-ofakes,git@github.com:Fehrnovic/os-challenge-ofakes.git,4a2d9a46908885204c189950c80c0961dfc8e507,38d45e016dccf06fe67908b1ec1064cf25f25db9
os-challenge-gr8,git@github.com:eKristensen/os-challenge-gr8.git,09d6d7f912201d90507e95f095532691708e7d54,29f05438ea2a30e260803bb8335eee1f7eb45ee4
os-challenge-dreamteam,git@github.com:MadsVSChristensen/os-challenge-dreamteam.git,8bee24e4f5744f5403a713d403932f1cc61658ea,e17580a3b54e446bda201b2d2f313f0b36f7bb74
group10,git@github.com:Axel-Jacobsen/group10.git,1a1643fef8ffce81226f84b11c6a04365a30e9a4,795a278febfdcd837f725937d30888cc0a6721a7
os-challenge-RuffBandits,git@github.com:NicolaiVerbaarschot/os-challenge-RuffBandits.git,e2d5a6c6bd685eed1ab0640e62ca2f6fa0a7a32f,77cffbb2d345ec2647bb56a648650bb107963778
os-challenge-gr12,git@github.com:mriis/os-challenge-gr12.git,780f2a93f51de43ae6e6cf2d29af5a8199c9e471,a88da6cf5d6a58cadfc409928052c9576bee58ed
os-challenge,git@github.com:dtu-ese/os-challenge.git,f54c4e538483ecd8bbf5482a986bc13b12639547,f54c4e538483ecd8bbf5482a986bc13b12639547
